Mnemonic,Type,Packet,bit_byte
ADST2IU2,D1,APID0016,/0544:1
ADST2BG2,D1,APID0016,/0544:2
ADST2RAM2,D1,APID0016,/0544:3
ADST2ROM2,D1,APID0016,/0544:4
ADST2S5I2,D1,APID0016,/0544:5
ADST2S4I2,D1,APID0016,/0544:6
ADST2S3I2,D1,APID0016,/0544:7
ADST2S2I2,D1,APID0016,/0545:0
ADST2S1I2,D1,APID0016,/0545:1
ADST2S5T2,D1,APID0016,/0545:2
ADST2S4T2,D1,APID0016,/0545:3
ADST2S3T2,D1,APID0016,/0545:4
ADST2S2T2,D1,APID0016,/0545:5
ADST2S1T2,D1,APID0016,/0545:6
ADST2S5D2,D1,APID0016,/0545:7
ADST2S4D2,D1,APID0016,/0546:0
ADST2S3D2,D1,APID0016,/0546:1
ADST2S2D2,D1,APID0016,/0546:2
ADST2S1D2,D1,APID0016,/0546:3
ADST2FFS2,D1,APID0016,/0546:4
ADST2EEP2,D1,APID0016,/0546:5
ADST2US2,D1,APID0016,/0546:6
ADST2D2,D1,APID0016,/0546:7
ADST2SE2,D1,APID0016,/0547:0
ADST2SR2,D1,APID0016,/0547:1
ADST2WD2,D1,APID0016,/0547:2
ADST2DE2,D1,APID0016,/0547:3
ADST2DU2,D1,APID0016,/0547:4
ADST2RE2,D1,APID0016,/0547:5
ADST2RS2,D1,APID0016,/0547:6
ADST2MSG2,U16,APID0016,/0548
ADST2CMD2,U8,APID0016,/0550
ADST2RJT2,U8,APID0016,/0551
ADST2S1X2,S16,APID0016,/0552
ADST2S1Y2,S16,APID0016,/0554
ADST2S1IN2,S16,APID0016,/0556
ADST2S2X2,S16,APID0016,/0558
ADST2S2Y2,S16,APID0016,/0560
ADST2S2IN2,S16,APID0016,/0562
ADST2S3X2,S16,APID0016,/0564
ADST2S3Y2,S16,APID0016,/0566
ADST2S3IN2,S16,APID0016,/0568
ADST2S4X2,S16,APID0016,/0570
ADST2S4Y2,S16,APID0016,/0572
ADST2S4IN2,S16,APID0016,/0574
ADST2S5X2,S16,APID0016,/0576
ADST2S5Y2,S16,APID0016,/0578
ADST2S5IN2,S16,APID0016,/0580
ADST2S5XCODE2,D3,APID0016,/0996:0-2
ADST2S4XCODE2,D3,APID0016,/0996:3-5
ADST2S3XCODE2,D3,APID0016,/0996:6-8
ADST2S2XCODE2,D3,APID0016,/0997:1-3
ADST2S1XCODE2,D3,APID0016,/0997:4-6
ADST2VTCW2,F64,APID0016,/0582
ADST2DL3,U16,APID0016,/0590
ADST2PU3,D1,APID0016,/0592:0
ADST2IU3,D1,APID0016,/0592:1
ADST2BG3,D1,APID0016,/0592:2
ADST2RAM3,D1,APID0016,/0592:3
ADST2ROM3,D1,APID0016,/0592:4
ADST2S5I3,D1,APID0016,/0592:5
ADST2S4I3,D1,APID0016,/0592:6
ADST2S3I3,D1,APID0016,/0592:7
ADST2S2I3,D1,APID0016,/0593:0
ADST2S1I3,D1,APID0016,/0593:1
ADST2S5T3,D1,APID0016,/0593:2
ADST2S4T3,D1,APID0016,/0593:3
ADST2S3T3,D1,APID0016,/0593:4
ADST2S2T3,D1,APID0016,/0593:5
ADST2S1T3,D1,APID0016,/0593:6
ADST2S5D3,D1,APID0016,/0593:7
ADST2S4D3,D1,APID0016,/0594:0
ADST2S3D3,D1,APID0016,/0594:1
ADST2S2D3,D1,APID0016,/0594:2
ADST2S1D3,D1,APID0016,/0594:3
ADST2FFS3,D1,APID0016,/0594:4
ADST2EEP3,D1,APID0016,/0594:5
ADST2US3,D1,APID0016,/0594:6
ADST2D3,D1,APID0016,/0594:7
ADST2SE3,D1,APID0016,/0595:0
ADST2SR3,D1,APID0016,/0595:1
ADST2WD3,D1,APID0016,/0595:2
ADST2DE3,D1,APID0016,/0595:3
ADST2DU3,D1,APID0016,/0595:4
ADST2RE3,D1,APID0016,/0595:5
ADST2RS3,D1,APID0016,/0595:6
ADST2MSG3,U16,APID0016,/0596
ADST2CMD3,U8,APID0016,/0598
ADST2RJT3,U8,APID0016,/0599
ADST2S1X3,S16,APID0016,/0600
ADST2S1Y3,S16,APID0016,/0602
ADST2S1IN3,S16,APID0016,/0604
ADST2S2X3,S16,APID0016,/0606
ADST2S2Y3,S16,APID0016,/0608
ADST2S2IN3,S16,APID0016,/0610
ADST2S3X3,S16,APID0016,/0612
ADST2S3Y3,S16,APID0016,/0614
ADST2S3IN3,S16,APID0016,/0616
ADST2S4X3,S16,APID0016,/0618
ADST2S4Y3,S16,APID0016,/0620
ADST2S4IN3,S16,APID0016,/0622
ADST2S5X3,S16,APID0016,/0624
ADST2S5Y3,S16,APID0016,/0626
ADST2S5IN3,S16,APID0016,/0628
ADST2S5XCODE3,D3,APID0016,/0998:0-2
ADST2S4XCODE3,D3,APID0016,/0998:3-5
ADST2S3XCODE3,D3,APID0016,/0998:6-8
ADST2S2XCODE3,D3,APID0016,/0999:1-3
ADST2S1XCODE3,D3,APID0016,/0999:4-6
ADST2VTCW3,F64,APID0016,/0630
ADST2DL4,U16,APID0016,/0638
ADST2PU4,D1,APID0016,/0640:0
ADST2IU4,D1,APID0016,/0640:1
ADST2BG4,D1,APID0016,/0640:2
ADST2RAM4,D1,APID0016,/0640:3
ADST2ROM4,D1,APID0016,/0640:4
ADST2S5I4,D1,APID0016,/0640:5
ADST2S4I4,D1,APID0016,/0640:6
ADST2S3I4,D1,APID0016,/0640:7
ADST2S2I4,D1,APID0016,/0641:0
ADST2S1I4,D1,APID0016,/0641:1
ADST2S5T4,D1,APID0016,/0641:2
ADST2S4T4,D1,APID0016,/0641:3
ADST2S3T4,D1,APID0016,/0641:4
ADST2S2T4,D1,APID0016,/0641:5
ADST2S1T4,D1,APID0016,/0641:6
ADST2S5D4,D1,APID0016,/0641:7
ADST2S4D4,D1,APID0016,/0642:0
ADST2S3D4,D1,APID0016,/0642:1
ADST2S2D4,D1,APID0016,/0642:2
ADST2S1D4,D1,APID0016,/0642:3
ADST2FFS4,D1,APID0016,/0642:4
ADST2EEP4,D1,APID0016,/0642:5
ADST2US4,D1,APID0016,/0642:6
ADST2D4,D1,APID0016,/0642:7
ADST2SE4,D1,APID0016,/0643:0
ADST2SR4,D1,APID0016,/0643:1
ADST2WD4,D1,APID0016,/0643:2
ADST2DE4,D1,APID0016,/0643:3
ADST2DU4,D1,APID0016,/0643:4
ADST2RE4,D1,APID0016,/0643:5
ADST2RS4,D1,APID0016,/0643:6
ADST2MSG4,U16,APID0016,/0644
ADST2CMD4,U8,APID0016,/0646
ADST2RJT4,U8,APID0016,/0647
ADST2S1X4,S16,APID0016,/0648
ADST2S1Y4,S16,APID0016,/0650
ADST2S1IN4,S16,APID0016,/0652
ADST2S2X4,S16,APID0016,/0654
ADST2S2Y4,S16,APID0016,/0656
ADST2S2IN4,S16,APID0016,/0658
ADST2S3X4,S16,APID0016,/0660
ADST2S3Y4,S16,APID0016,/0662
ADST2S3IN4,S16,APID0016,/0664
ADST2S4X4,S16,APID0016,/0666
ADST2S4Y4,S16,APID0016,/0668
ADST2S4IN4,S16,APID0016,/0670
ADST2S5X4,S16,APID0016,/0672
ADST2S5Y4,S16,APID0016,/0674
ADST2S5IN4,S16,APID0016,/0676
ADST2S5XCODE4,D3,APID0016,/1000:0-2
ADST2S4XCODE4,D3,APID0016,/1000:3-5
ADST2S3XCODE4,D3,APID0016,/1000:6-8
ADST2S2XCODE4,D3,APID0016,/1001:1-3
ADST2S1XCODE4,D3,APID0016,/1001:4-6
ADST2VTCW4,F64,APID0016,/0678
ADST2DL5,U16,APID0016,/0686
ADST2PU5,D1,APID0016,/0688:0
ADST2IU5,D1,APID0016,/0688:1
ADST2BG5,D1,APID0016,/0688:2
ADST2RAM5,D1,APID0016,/0688:3
ADST2ROM5,D1,APID0016,/0688:4
ADST2S5I5,D1,APID0016,/0688:5
ADST2S4I5,D1,APID0016,/0688:6
ADST2S3I5,D1,APID0016,/0688:7
ADST2S2I5,D1,APID0016,/0689:0
ADST2S1I5,D1,APID0016,/0689:1
ADST2S5T5,D1,APID0016,/0689:2
ADST2S4T5,D1,APID0016,/0689:3
ADST2S3T5,D1,APID0016,/0689:4
ADST2S2T5,D1,APID0016,/0689:5
ADST2S1T5,D1,APID0016,/0689:6
ADST2S5D5,D1,APID0016,/0689:7
ADST2S4D5,D1,APID0016,/0690:0
ADST2S3D5,D1,APID0016,/0690:1
ADST2S2D5,D1,APID0016,/0690:2
ADST2S1D5,D1,APID0016,/0690:3
ADST2FFS5,D1,APID0016,/0690:4
ADST2EEP5,D1,APID0016,/0690:5
ADST2US5,D1,APID0016,/0690:6
ADST2D5,D1,APID0016,/0690:7
ADST2SE5,D1,APID0016,/0691:0
ADST2SR5,D1,APID0016,/0691:1
ADST2WD5,D1,APID0016,/0691:2
ADST2DE5,D1,APID0016,/0691:3
ADST2DU5,D1,APID0016,/0691:4
ADST2RE5,D1,APID0016,/0691:5
ADST2RS5,D1,APID0016,/0691:6
ADST2MSG5,U16,APID0016,/0692
ADST2CMD5,U8,APID0016,/0694
ADST2RJT5,U8,APID0016,/0695
ADST2S1X5,S16,APID0016,/0696
ADST2S1Y5,S16,APID0016,/0698
ADST2S1IN5,S16,APID0016,/0700
ADST2S2X5,S16,APID0016,/0702
ADST2S2Y5,S16,APID0016,/0704
ADST2S2IN5,S16,APID0016,/0706
ADST2S3X5,S16,APID0016,/0708
ADST2S3Y5,S16,APID0016,/0710
ADST2S3IN5,S16,APID0016,/0712
ADST2S4X5,S16,APID0016,/0714
ADST2S4Y5,S16,APID0016,/0716
ADST2S4IN5,S16,APID0016,/0718
ADST2S5X5,S16,APID0016,/0720
ADST2S5Y5,S16,APID0016,/0722
ADST2S5IN5,S16,APID0016,/0724
ADST2S5XCODE5,D3,APID0016,/1002:0-2
ADST2S4XCODE5,D3,APID0016,/1002:3-5
ADST2S3XCODE5,D3,APID0016,/1002:6-8
ADST2S2XCODE5,D3,APID0016,/1003:1-3
ADST2S1XCODE5,D3,APID0016,/1003:4-6
ADST2VTCW5,F64,APID0016,/0726
ADST2DL6,U16,APID0016,/0734
ADST2PU6,D1,APID0016,/0736:0
ADST2IU6,D1,APID0016,/0736:1
ADST2BG6,D1,APID0016,/0736:2
ADST2RAM6,D1,APID0016,/0736:3
ADST2ROM6,D1,APID0016,/0736:4
ADST2S5I6,D1,APID0016,/0736:5
ADST2S4I6,D1,APID0016,/0736:6
ADST2S3I6,D1,APID0016,/0736:7
ADST2S2I6,D1,APID0016,/0737:0
ADST2S1I6,D1,APID0016,/0737:1
ADST2S5T6,D1,APID0016,/0737:2
ADST2S4T6,D1,APID0016,/0737:3
ADST2S3T6,D1,APID0016,/0737:4
ADST2S2T6,D1,APID0016,/0737:5
ADST2S1T6,D1,APID0016,/0737:6
ADST2S5D6,D1,APID0016,/0737:7
ADST2S4D6,D1,APID0016,/0738:0
ADST2S3D6,D1,APID0016,/0738:1
ADST2S2D6,D1,APID0016,/0738:2
ADST2S1D6,D1,APID0016,/0738:3
ADST2FFS6,D1,APID0016,/0738:4
ADST2EEP6,D1,APID0016,/0738:5
ADST2US6,D1,APID0016,/0738:6
ADST2D6,D1,APID0016,/0738:7
ADST2SE6,D1,APID0016,/0739:0
ADST2SR6,D1,APID0016,/0739:1
ADST2WD6,D1,APID0016,/0739:2
ADST2DE6,D1,APID0016,/0739:3
ADST2DU6,D1,APID0016,/0739:4
ADST2RE6,D1,APID0016,/0739:5
ADST2RS6,D1,APID0016,/0739:6
ADST2MSG6,U16,APID0016,/0740
ADST2CMD6,U8,APID0016,/0742
ADST2RJT6,U8,APID0016,/0743
ADST2S1X6,S16,APID0016,/0744
ADST2S1Y6,S16,APID0016,/0746
ADST2S1IN6,S16,APID0016,/0748
ADST2S2X6,S16,APID0016,/0750
ADST2S2Y6,S16,APID0016,/0752
ADST2S2IN6,S16,APID0016,/0754
ADST2S3X6,S16,APID0016,/0756
ADST2S3Y6,S16,APID0016,/0758
ADST2S3IN6,S16,APID0016,/0760
ADST2S4X6,S16,APID0016,/0762
ADST2S4Y6,S16,APID0016,/0764
ADST2S4IN6,S16,APID0016,/0766
ADST2S5X6,S16,APID0016,/0768
ADST2S5Y6,S16,APID0016,/0770
ADST2S5IN6,S16,APID0016,/0772
ADST2S5XCODE6,D3,APID0016,/1004:0-2
ADST2S4XCODE6,D3,APID0016,/1004:3-5
ADST2S3XCODE6,D3,APID0016,/1004:6-8
ADST2S2XCODE6,D3,APID0016,/1005:1-3
ADST2S1XCODE6,D3,APID0016,/1005:4-6
ADST2VTCW6,F64,APID0016,/0774
ADST2DL7,U16,APID0016,/0782
ADST2PU7,D1,APID0016,/0784:0
ADST2IU7,D1,APID0016,/0784:1
ADST2BG7,D1,APID0016,/0784:2
ADST2RAM7,D1,APID0016,/0784:3
ADST2ROM7,D1,APID0016,/0784:4
ADST2S5I7,D1,APID0016,/0784:5
ADST2S4I7,D1,APID0016,/0784:6
ADST2S3I7,D1,APID0016,/0784:7
ADST2S2I7,D1,APID0016,/0785:0
ADST2S1I7,D1,APID0016,/0785:1
ADST2S5T7,D1,APID0016,/0785:2
ADST2S4T7,D1,APID0016,/0785:3
ADST2S3T7,D1,APID0016,/0785:4
ADST2S2T7,D1,APID0016,/0785:5
ADST2S1T7,D1,APID0016,/0785:6
ADST2S5D7,D1,APID0016,/0785:7
ADST2S4D7,D1,APID0016,/0786:0
ADST2S3D7,D1,APID0016,/0786:1
ADST2S2D7,D1,APID0016,/0786:2
ADST2S1D7,D1,APID0016,/0786:3
ADST2FFS7,D1,APID0016,/0786:4
ADST2EEP7,D1,APID0016,/0786:5
ADST2US7,D1,APID0016,/0786:6
ADST2D7,D1,APID0016,/0786:7
ADST2SE7,D1,APID0016,/0787:0
ADST2SR7,D1,APID0016,/0787:1
ADST2WD7,D1,APID0016,/0787:2
ADST2DE7,D1,APID0016,/0787:3
ADST2DU7,D1,APID0016,/0787:4
ADST2RE7,D1,APID0016,/0787:5
ADST2RS7,D1,APID0016,/0787:6
ADST2MSG7,U16,APID0016,/0788
ADST2CMD7,U8,APID0016,/0790
ADST2RJT7,U8,APID0016,/0791
ADST2S1X7,S16,APID0016,/0792
ADST2S1Y7,S16,APID0016,/0794
ADST2S1IN7,S16,APID0016,/0796
ADST2S2X7,S16,APID0016,/0798
ADST2S2Y7,S16,APID0016,/0800
ADST2S2IN7,S16,APID0016,/0802
ADST2S3X7,S16,APID0016,/0804
ADST2S3Y7,S16,APID0016,/0806
ADST2S3IN7,S16,APID0016,/0808
ADST2S4X7,S16,APID0016,/0810
ADST2S4Y7,S16,APID0016,/0812
ADST2S4IN7,S16,APID0016,/0814
ADST2S5X7,S16,APID0016,/0816
ADST2S5Y7,S16,APID0016,/0818
ADST2S5IN7,S16,APID0016,/0820
ADST2S5XCODE7,D3,APID0016,/1006:0-2
ADST2S4XCODE7,D3,APID0016,/1006:3-5
ADST2S3XCODE7,D3,APID0016,/1006:6-8
ADST2S2XCODE7,D3,APID0016,/1007:1-3
ADST2S1XCODE7,D3,APID0016,/1007:4-6
ADST2VTCW7,F64,APID0016,/0822
ADST2DL8,U16,APID0016,/0830
ADST2PU8,D1,APID0016,/0832:0
ADST2IU8,D1,APID0016,/0832:1
ADST2BG8,D1,APID0016,/0832:2
ADST2RAM8,D1,APID0016,/0832:3
ADST2ROM8,D1,APID0016,/0832:4
ADST2S5I8,D1,APID0016,/0832:5
ADST2S4I8,D1,APID0016,/0832:6
ADST2S3I8,D1,APID0016,/0832:7
ADST2S2I8,D1,APID0016,/0833:0
ADST2S1I8,D1,APID0016,/0833:1
ADST2S5T8,D1,APID0016,/0833:2
ADST2S4T8,D1,APID0016,/0833:3
ADST2S3T8,D1,APID0016,/0833:4
ADST2S2T8,D1,APID0016,/0833:5
ADST2S1T8,D1,APID0016,/0833:6
ADST2S5D8,D1,APID0016,/0833:7
ADST2S4D8,D1,APID0016,/0834:0
ADST2S3D8,D1,APID0016,/0834:1
ADST2S2D8,D1,APID0016,/0834:2
ADST2S1D8,D1,APID0016,/0834:3
ADST2FFS8,D1,APID0016,/0834:4
ADST2EEP8,D1,APID0016,/0834:5
ADST2US8,D1,APID0016,/0834:6
ADST2D8,D1,APID0016,/0834:7
ADST2SE8,D1,APID0016,/0835:0
ADST2SR8,D1,APID0016,/0835:1
ADST2WD8,D1,APID0016,/0835:2
ADST2DE8,D1,APID0016,/0835:3
ADST2DU8,D1,APID0016,/0835:4
ADST2RE8,D1,APID0016,/0835:5
ADST2RS8,D1,APID0016,/0835:6
ADST2MSG8,U16,APID0016,/0836
ADST2CMD8,U8,APID0016,/0838
ADST2RJT8,U8,APID0016,/0839
ADST2S1X8,S16,APID0016,/0840
ADST2S1Y8,S16,APID0016,/0842
ADST2S1IN8,S16,APID0016,/0844
ADST2S2X8,S16,APID0016,/0846
ADST2S2Y8,S16,APID0016,/0848
ADST2S2IN8,S16,APID0016,/0850
ADST2S3X8,S16,APID0016,/0852
ADST2S3Y8,S16,APID0016,/0854
ADST2S3IN8,S16,APID0016,/0856
ADST2S4X8,S16,APID0016,/0858
ADST2S4Y8,S16,APID0016,/0860
ADST2S4IN8,S16,APID0016,/0862
ADST2S5X8,S16,APID0016,/0864
ADST2S5Y8,S16,APID0016,/0866
ADST2S5IN8,S16,APID0016,/0868
ADST2S5XCODE8,D3,APID0016,/1008:0-2
ADST2S4XCODE8,D3,APID0016,/1008:3-5
ADST2S3XCODE8,D3,APID0016,/1008:6-8
ADST2S2XCODE8,D3,APID0016,/1009:1-3
ADST2S1XCODE8,D3,APID0016,/1009:4-6
ADST2VTCW8,F64,APID0016,/0870
ADST2DL9,U16,APID0016,/0878
ADST2PU9,D1,APID0016,/0880:0
ADST2IU9,D1,APID0016,/0880:1
ADST2BG9,D1,APID0016,/0880:2
ADST2RAM9,D1,APID0016,/0880:3
ADST2ROM9,D1,APID0016,/0880:4
ADST2S5I9,D1,APID0016,/0880:5
ADST2S4I9,D1,APID0016,/0880:6
ADST2S3I9,D1,APID0016,/0880:7
ADST2S2I9,D1,APID0016,/0881:0
ADST2S1I9,D1,APID0016,/0881:1
ADST2S5T9,D1,APID0016,/0881:2
ADST2S4T9,D1,APID0016,/0881:3
ADST2S3T9,D1,APID0016,/0881:4
ADST2S2T9,D1,APID0016,/0881:5
ADST2S1T9,D1,APID0016,/0881:6
ADST2S5D9,D1,APID0016,/0881:7
ADST2S4D9,D1,APID0016,/0882:0
ADST2S3D9,D1,APID0016,/0882:1
ADST2S2D9,D1,APID0016,/0882:2
ADST2S1D9,D1,APID0016,/0882:3
ADST2FFS9,D1,APID0016,/0882:4
ADST2EEP9,D1,APID0016,/0882:5
ADST2US9,D1,APID0016,/0882:6
ADST2D9,D1,APID0016,/0882:7
ADST2SE9,D1,APID0016,/0883:0
ADST2SR9,D1,APID0016,/0883:1
ADST2WD9,D1,APID0016,/0883:2
ADST2DE9,D1,APID0016,/0883:3
ADST2DU9,D1,APID0016,/0883:4
ADST2RE9,D1,APID0016,/0883:5
ADST2RS9,D1,APID0016,/0883:6
ADST2MSG9,U16,APID0016,/0884
ADST2CMD9,U8,APID0016,/0886
ADST2RJT9,U8,APID0016,/0887
ADST2S1X9,S16,APID0016,/0888
ADST2S1Y9,S16,APID0016,/0890
ADST2S1IN9,S16,APID0016,/0892
ADST2S2X9,S16,APID0016,/0894
ADST2S2Y9,S16,APID0016,/0896
ADST2S2IN9,S16,APID0016,/0898
ADST2S3X9,S16,APID0016,/0900
ADST2S3Y9,S16,APID0016,/0902
ADST2S3IN9,S16,APID0016,/0904
ADST2S4X9,S16,APID0016,/0906
ADST2S4Y9,S16,APID0016,/0908
ADST2S4IN9,S16,APID0016,/0910
ADST2S5X9,S16,APID0016,/0912
ADST2S5Y9,S16,APID0016,/0914
ADST2S5IN9,S16,APID0016,/0916
ADST2S5XCODE9,D3,APID0016,/1010:0-2
ADST2S4XCODE9,D3,APID0016,/1010:3-5
ADST2S3XCODE9,D3,APID0016,/1010:6-8
ADST2S2XCODE9,D3,APID0016,/1011:1-3
ADST2S1XCODE9,D3,APID0016,/1011:4-6
ADST2VTCW9,F64,APID0016,/0918
ADST2DL10,U16,APID0016,/0926
ADST2PU10,D1,APID0016,/0928:0
ADST2IU10,D1,APID0016,/0928:1
ADST2BG10,D1,APID0016,/0928:2
ADST2RAM10,D1,APID0016,/0928:3
ADST2ROM10,D1,APID0016,/0928:4
ADST2S5I10,D1,APID0016,/0928:5
ADST2S4I10,D1,APID0016,/0928:6
ADST2S3I10,D1,APID0016,/0928:7
ADST2S2I10,D1,APID0016,/0929:0
ADST2S1I10,D1,APID0016,/0929:1
ADST2S5T10,D1,APID0016,/0929:2
ADST2S4T10,D1,APID0016,/0929:3
ADST2S3T10,D1,APID0016,/0929:4
ADST2S2T10,D1,APID0016,/0929:5
ADST2S1T10,D1,APID0016,/0929:6
ADST2S5D10,D1,APID0016,/0929:7
ADST2S4D10,D1,APID0016,/0930:0
ADST2S3D10,D1,APID0016,/0930:1
ADST2S2D10,D1,APID0016,/0930:2
ADST2S1D10,D1,APID0016,/0930:3
ADST2FFS10,D1,APID0016,/0930:4
ADST2EEP10,D1,APID0016,/0930:5
ADST2US10,D1,APID0016,/0930:6
ADST2D10,D1,APID0016,/0930:7
ADST2SE10,D1,APID0016,/0931:0
ADST2SR10,D1,APID0016,/0931:1
ADST2WD10,D1,APID0016,/0931:2
ADST2DE10,D1,APID0016,/0931:3
ADST2DU10,D1,APID0016,/0931:4
ADST2RE10,D1,APID0016,/0931:5
ADST2RS10,D1,APID0016,/0931:6
ADST2MSG10,U16,APID0016,/0932
ADST2CMD10,U8,APID0016,/0934
ADST2RJT10,U8,APID0016,/0935
ADST2S1X10,S16,APID0016,/0936
ADST2S1Y10,S16,APID0016,/0938
ADST2S1IN10,S16,APID0016,/0940
ADST2S2X10,S16,APID0016,/0942
ADST2S2Y10,S16,APID0016,/0944
ADST2S2IN10,S16,APID0016,/0946
ADST2S3X10,S16,APID0016,/0948
ADST2S3Y10,S16,APID0016,/0950
ADST2S3IN10,S16,APID0016,/0952
ADST2S4X10,S16,APID0016,/0954
ADST2S4Y10,S16,APID0016,/0956
ADST2S4IN10,S16,APID0016,/0958
ADST2S5X10,S16,APID0016,/0960
ADST2S5Y10,S16,APID0016,/0962
ADST2S5IN10,S16,APID0016,/0964
ADST2S5XCODE10,D3,APID0016,/1012:0-2
ADST2S4XCODE10,D3,APID0016,/1012:3-5
ADST2S3XCODE10,D3,APID0016,/1012:6-8
ADST2S2XCODE10,D3,APID0016,/1013:1-3
ADST2S1XCODE10,D3,APID0016,/1013:4-6
ADST2VTCW10,F64,APID0016,/0966
ADSS1DUF,D1,APID0000,/0127:0
ADSS1DUF,D1,APID0001,/0130:0
ADSS1DUF,D1,APID0088,/0066:0
ADSS2DUF,D1,APID0000,/0127:1
ADSS2DUF,D1,APID0001,/0130:1
ADSS2DUF,D1,APID0088,/0066:1
ADSS3DUF,D1,APID0000,/0127:2
ADSS3DUF,D1,APID0001,/0130:2
ADSS3DUF,D1,APID0088,/0066:2
ADSS4DUF,D1,APID0000,/0127:3
ADSS4DUF,D1,APID0001,/0130:3
ADSS4DUF,D1,APID0088,/0066:3
ADSS6DUF,D1,APID0000,/0127:5
ADSS6DUF,D1,APID0001,/0144:6
ADSS6DUF,D1,APID0088,/0066:5
ADSS7DUF,D1,APID0000,/0127:6
ADSS7DUF,D1,APID0001,/0144:7
ADSS7DUF,D1,APID0088,/0066:6
ADSS8DUF,D1,APID0000,/0127:7
ADSS8DUF,D1,APID0001,/0145:0
ADSS8DUF,D1,APID0088,/0066:7
ADSS9DUF,D1,APID0000,/0128:0
ADSS9DUF,D1,APID0001,/0145:1
ADSS9DUF,D1,APID0088,/0067:0
ADSS10DUF,D1,APID0000,/0128:1
ADSS10DUF,D1,APID0001,/0145:2
ADSS10DUF,D1,APID0088,/0067:1
ADSS11DUF,D1,APID0000,/0128:2
ADSS11DUF,D1,APID0001,/0145:3
ADSS11DUF,D1,APID0088,/0067:2
ADSS12DUF,D1,APID0000,/0128:3
ADSS12DUF,D1,APID0001,/0145:4
ADSS12DUF,D1,APID0088,/0067:3
ADSS13DUF,D1,APID0000,/0128:4
ADSS13DUF,D1,APID0001,/0145:5
ADSS13DUF,D1,APID0088,/0067:4
ADSS14DUF,D1,APID0000,/0128:5
ADSS14DUF,D1,APID0001,/0145:6
ADSS14DUF,D1,APID0088,/0067:5
ADSS15DUF,D1,APID0000,/0128:6
ADSS15DUF,D1,APID0001,/0145:7
ADSS15DUF,D1,APID0088,/0067:6
ADSS16DUF,D1,APID0000,/0153:0
ADSS16DUF,D1,APID0001,/0146:0
ADSS16DUF,D1,APID0088,/0067:7
ADSS17DUF,D1,APID0000,/0153:1
ADSS17DUF,D1,APID0001,/0146:1
ADSS17DUF,D1,APID0088,/0068:0
ADSS18DUF,D1,APID0000,/0153:2
ADSS18DUF,D1,APID0001,/0146:2
ADSS18DUF,D1,APID0088,/0068:1
ADSS19DUF,D1,APID0000,/0153:3
ADSS19DUF,D1,APID0001,/0146:3
ADSS19DUF,D1,APID0088,/0068:2
ADSS1INT,U16,APID0002,/0015
ADSS1INT,U16,APID0008,/0131
ADSS1INT,U16,APID0089,/0020
ADSS2INT,U16,APID0002,/0017
ADSS2INT,U16,APID0008,/0133
ADSS2INT,U16,APID0089,/0022
ADSS3INT,U16,APID0002,/0019
ADSS3INT,U16,APID0008,/0135
ADSS3INT,U16,APID0089,/0024
ADSS4INT,U16,APID0002,/0021
ADSS4INT,U16,APID0008,/0137
ADSS4INT,U16,APID0089,/0026
ADSS6INT,U16,APID0002,/0023
ADSS6INT,U16,APID0008,/0141
ADSS6INT,U16,APID0089,/0028
ADSS7INT,U16,APID0002,/0025
ADSS7INT,U16,APID0008,/0143
ADSS7INT,U16,APID0089,/0030
ADSS8INT,U16,APID0002,/0027
ADSS8INT,U16,APID0008,/0145
ADSS8INT,U16,APID0089,/0032
ADSS9INT,U16,APID0002,/0029
ADSS9INT,U16,APID0008,/0147
ADSS9INT,U16,APID0089,/0034
ADSS10INT,U16,APID0002,/0031
ADSS10INT,U16,APID0008,/0149
ADSS10INT,U16,APID0089,/0036
ADSS11INT,U16,APID0002,/0033
ADSS11INT,U16,APID0008,/0151
ADSS11INT,U16,APID0089,/0038
ADSS12INT,U16,APID0002,/0035
ADSS12INT,U16,APID0008,/0153
ADSS12INT,U16,APID0089,/0040
ADSS13INT,U16,APID0002,/0037
ADSS13INT,U16,APID0008,/0155
ADSS13INT,U16,APID0089,/0042
ADSS14INT,U16,APID0002,/0039
ADSS14INT,U16,APID0008,/0157
ADSS14INT,U16,APID0089,/0044
ADSS15INT,U16,APID0002,/0041
ADSS15INT,U16,APID0008,/0159
ADSS15INT,U16,APID0089,/0046
ADSS16INT,U16,APID0002,/0043
ADSS16INT,U16,APID0008,/0276
ADSS16INT,U16,APID0089,/0048
ADSS17INT,U16,APID0002,/0045
ADSS17INT,U16,APID0008,/0278
ADSS17INT,U16,APID0089,/0050
ADSS18INT,U16,APID0002,/0047
ADSS18INT,U16,APID0008,/0280
ADSS18INT,U16,APID0089,/0052
ADSS19INT,U16,APID0002,/0049
ADSS19INT,U16,APID0008,/0282
ADSS19INT,U16,APID0089,/0054
ADSS1CTS,D1,APID0009,/0254:0
ADSS2CTS,D1,APID0009,/0254:1
ADSS3CTS,D1,APID0009,/0254:2
ADSS4CTS,D1,APID0009,/0254:3
ADSS6CTS,D1,APID0009,/0254:5
ADSS7CTS,D1,APID0009,/0254:6
ADSS8CTS,D1,APID0009,/0254:7
ADSS9CTS,D1,APID0009,/0255:0
ADSS10CTS,D1,APID0009,/0255:1
ADSS11CTS,D1,APID0009,/0255:2
ADSS12CTS,D1,APID0009,/0255:3
ADSS13CTS,D1,APID0009,/0255:4
