Mnemonic,Type,Packet,bit_byte
ADT4CMDOT,U16,APID0020,/0069
ADOTRIM,D1,APID0009,/0027:4
ADOTRIMSEC,U16,APID0009,/0073
ADDVMULT,U16,APID0020,/0247
ADATTERPX1,S16,APID0009,/0014
ADATTERPY1,S16,APID0009,/0016
ADATTERPZ1,S16,APID0009,/0018
ADSOLUTION,D5,APID0000,/0131:2-6
ADSOLUTION,D5,APID0001,/0100:3-7
ADSOLUTION,D5,APID0088,/0071:0-4
ADCFRX,S16,APID0000,/0133
ADCFRX,S16,APID0001,/0026
ADCFRX,S16,APID0088,/0026
ADCFRY,S16,APID0000,/0135
ADCFRY,S16,APID0001,/0028
ADCFRY,S16,APID0088,/0028
ADCFRZ,S16,APID0000,/0137
ADCFRZ,S16,APID0001,/0030
ADCFRZ,S16,APID0088,/0030
ADCFAQ1,S16,APID0008,/0038
ADCFAQ2,S16,APID0008,/0040
ADCFAQ3,S16,APID0008,/0042
ADCFAQ4,S16,APID0008,/0044
ADA12ST,D1,APID0008,/0046:1
ADA1OST,D1,APID0008,/0046:2
ADA2OST,D1,APID0008,/0046:3
ADVECPAIR,D4,APID0001,/0101:0-3
ADVECPAIR,D4,APID0008,/0046:4-7
ADVECPAIR,D4,APID0088,/0072:0-3
ADUMETHOD,D2,APID0008,/0047:0-1
ADOVERRIDE,D2,APID0008,/0047:2-3
ADMOMENT1,S16,APID0001,/0032
ADMOMENT1,S16,APID0008,/0048
ADMOMENT1,S16,APID0088,/0032
ADMOMENT2,S16,APID0001,/0034
ADMOMENT2,S16,APID0008,/0050
ADMOMENT2,S16,APID0088,/0034
ADMOMENT3,S16,APID0001,/0036
ADMOMENT3,S16,APID0008,/0052
ADMOMENT3,S16,APID0088,/0036
ADRWMOM1,S16,APID0008,/0054
ADRWMOM2,S16,APID0008,/0056
ADRWMOM3,S16,APID0008,/0058
ADBMOM1,S16,APID0008,/0060
ADBMOM2,S16,APID0008,/0062
ADBMOM3,S16,APID0008,/0064
ADMANDONE,D1,APID0008,/0096:3
ADMANDONE,D1,APID0098,/0020:0
ADMATTQ1,S16,APID0020,/0275
ADMATTQ2,S16,APID0020,/0277
ADMATTQ3,S16,APID0020,/0279
ADMATTQ4,S16,APID0020,/0281
ADMAQ1,S16,APID0020,/0014
ADMAQ2,S16,APID0020,/0016
ADMAQ3,S16,APID0020,/0018
ADMAQ4,S16,APID0020,/0020
ADPBARX,S16,APID0020,/0199
ADPBARY,S16,APID0020,/0201
ADPBARZ,S16,APID0020,/0203
ADPIBQ1,S16,APID0020,/0205
ADPIBQ2,S16,APID0020,/0207
ADPIBQ3,S16,APID0020,/0209
ADPIBQ4,S16,APID0020,/0211
ADFFAX1,S16,APID0020,/0034
ADFFAY1,S16,APID0020,/0036
ADFFAZ1,S16,APID0020,/0038
ADFFTX1,S16,APID0020,/0040
ADFFTY1,S16,APID0020,/0042
ADFFTZ1,S16,APID0020,/0044
ADDCFRAME,U3,APID0020,/0062:0-2
ADDRFRAME,D2,APID0020,/0062:3-4
ADDATTQ1,S16,APID0020,/0048
ADDATTQ2,S16,APID0020,/0050
ADDATTQ3,S16,APID0020,/0052
ADDATTQ4,S16,APID0020,/0054
ADDRATEX,S16,APID0020,/0056
ADDRATEY,S16,APID0020,/0058
ADDRATEZ,S16,APID0020,/0060
ADDACCX,S16,APID0020,/0245
ADDACCY,S16,APID0020,/0249
ADDACCZ,S16,APID0020,/0253
ADDCFSUNX,S16,APID0008,/0081
ADDCFSUNY,S16,APID0008,/0083
ADDCFSUNZ,S16,APID0008,/0085
ADASRCMD,S16,APID0020,/0251
ADST2TRIAD,S16,APID0012,/0057
ADST2TRIAD,S16,APID0020,/0077
ADST1SANG,U16,APID0020,/0283
ADST1MANG,U16,APID0020,/0285
ADST1EANG,U16,APID0020,/0287
ADST2SANG,U16,APID0020,/0289
ADST2MANG,U16,APID0020,/0291
ADST2EANG,U16,APID0020,/0293
ADGPSVALID,D1,APID0008,/0284:0
ADGPSVALID,D1,APID0012,/0124:0
ADGPSTIMEVALID,D1,APID0008,/0284:1
ADGPSNAVST,D1,APID0008,/0274:4
ADGPSNAVST,D1,APID0012,/0122:4
ADGPSSRC,D1,APID0008,/0368:0
ADGPSPATH,D1,APID0008,/0368:1
ADGPSSIGSEL,D2,APID0008,/0368:0-1
ADGPSSRC,D1,APID0012,/0121:0
ADGPSPATH,D1,APID0012,/0121:1
ADGPSSIGSEL,D2,APID0012,/0121:0-1
ADGPS1SO,D1,APID0009,/0261:2
ADGPS2SO,D1,APID0009,/0261:3
ADGPSULF,D2,APID0008,/0274:2-3
ADGPSULF,D2,APID0012,/0122:2-3
ADGPSACK,U8,APID0008,/0165
ADGPSTOFF,U16,APID0012,/0077
ADGPSTOFF,U16,APID0020,/0079
ADGPSCOFF,U16,APID0020,/0081
ADGPSCSUMF,U8,APID0008,/0275
ADGPSMSGLERR,U8,APID0020,/0083
ADGPSX25LERR,U8,APID0020,/0084
ADGPSRAWB,U32,APID0020,/0085
ADGPSSOLST,D1,APID0008,/0274:5
ADGPSSOLST,D1,APID0012,/0122:5
ADGPSDATST,D4,APID0009,/0066:0-3
ADGPSDATST,D4,APID0012,/0123:4-7
ADGPSPPSN,D1,APID0008,/0274:0
ADGPSDATN,D1,APID0008,/0274:1
ADGPSACTIVE,D1,APID0008,/0122:6
ADSCPTSGPSPPS,D1,APID0012,/0124:2
ADSCPTSGPSPPS,D1,APID0013,/0064:1
ADSCPTSINTPPS,D1,APID0012,/0124:3
ADSCPTSINTPPS,D1,APID0013,/0064:2
ADSCPTS1PPSOUT,D1,APID0012,/0124:4
ADSCPTS1PPSOUT,D1,APID0013,/0064:3
ADSCPTS8THPPSOUT,D1,APID0012,/0124:5
ADSCPTS8THPPSOUT,D1,APID0013,/0378:6
ADGPSVTCW,F64,APID0013,/0065
ADGPSTTDAY,U16,APID0008,/0166
ADGPSTTDAY,U16,APID0012,/0069
ADGPSTTMS,U32,APID0008,/0168
ADGPSTTMS,U32,APID0012,/0071
ADGPSTTUS,U16,APID0008,/0172
ADGPSTTUS,U16,APID0012,/0075
ADTODNSRC,D1,APID0013,/0064:0
ADPPSNTTDAY,U16,APID0013,/0056
ADPPSNTTMS,U32,APID0013,/0058
ADPPSNTTUS,U16,APID0013,/0062
ADGPSMNTH,U8,APID0008,/0174
ADGPSDAY,U8,APID0008,/0175
ADGPSYEAR,U16,APID0008,/0176
ADGPSHOUR,U8,APID0008,/0178
ADGPSHOUR,U8,APID0012,/0059
ADGPSMIN,U8,APID0008,/0179
ADGPSMIN,U8,APID0012,/0060
ADGPSSEC,U8,APID0008,/0180
ADGPSSEC,U8,APID0012,/0061
ADGPSNANO,U32,APID0008,/0181
ADGPSNANO,U32,APID0012,/0062
ADGPSDOP,U16,APID0008,/0185
ADGPSDOP,U16,APID0012,/0066
ADGPSVSAT,U8,APID0008,/0259
ADGPSNSAT,U8,APID0008,/0260
ADGPSNSAT,U8,APID0012,/0068
ADGPS1ID,U8,APID0008,/0187
ADGPS1MOD,D8,APID0008,/0188
ADGPS1SS,U8,APID0008,/0261
ADGPS1AI,D1,APID0020,/0388:0
ADGPS2ID,U8,APID0008,/0189
ADGPS2MOD,D8,APID0008,/0190
ADGPS2SS,U8,APID0008,/0262
ADGPS2AI,D1,APID0020,/0388:1
ADGPS3ID,U8,APID0008,/0191
ADGPS3MOD,D8,APID0008,/0192
ADGPS3SS,U8,APID0008,/0263
ADGPS3AI,D1,APID0020,/0388:2
ADGPS4ID,U8,APID0008,/0193
ADGPS4MOD,D8,APID0008,/0194
ADGPS4SS,U8,APID0008,/0264
ADGPS4AI,D1,APID0020,/0388:3
ADGPS5ID,U8,APID0008,/0195
ADGPS5MOD,D8,APID0008,/0196
ADGPS5SS,U8,APID0008,/0265
ADGPS5AI,D1,APID0020,/0388:4
ADGPS6ID,U8,APID0008,/0197
ADGPS6MOD,D8,APID0008,/0198
ADGPS6SS,U8,APID0008,/0266
ADGPS6AI,D1,APID0020,/0388:5
ADGPS7ID,U8,APID0008,/0199
ADGPS7MOD,D8,APID0008,/0200
ADGPS7SS,U8,APID0008,/0267
ADGPS7AI,D1,APID0020,/0388:6
ADGPS8ID,U8,APID0008,/0201
ADGPS8MOD,D8,APID0008,/0202
ADGPS8SS,U8,APID0008,/0268
ADGPS8AI,D1,APID0020,/0388:7
ADGPS9ID,U8,APID0008,/0203
ADGPS9MOD,D8,APID0008,/0204
ADGPS9SS,U8,APID0008,/0269
ADGPS9AI,D1,APID0020,/0389:0
ADGPS10ID,U8,APID0008,/0205
ADGPS10MOD,D8,APID0008,/0206
ADGPS10SS,U8,APID0008,/0270
ADGPS10AI,D1,APID0020,/0389:1
ADGPS11ID,U8,APID0008,/0207
ADGPS11MOD,D8,APID0008,/0208
ADGPS11SS,U8,APID0008,/0271
ADGPS11AI,D1,APID0020,/0389:2
ADGPS12ID,U8,APID0008,/0209
ADGPS12MOD,D8,APID0008,/0210
ADGPS12SS,U8,APID0008,/0272
ADGPS12AI,D1,APID0020,/0389:3
ADGPSPROP,D1,APID0008,/0273:0
ADGPSGEO,D1,APID0008,/0273:1
ADGPSGEO,D1,APID0012,/0121:7
ADGPSFIX3D,D1,APID0008,/0273:2
ADGPSFIX3D,D1,APID0012,/0122:0
ADGPSALT,D1,APID0008,/0273:3
ADGPSACQ,D1,APID0008,/0273:4
ADGPSSALM,D1,APID0008,/0273:5
ADGPSIVSAT,D1,APID0008,/0273:6
ADGPSBALM,D1,APID0008,/0273:7
ADGPSBALM,D1,APID0012,/0122:1
ADGPSPOSX,F64,APID0008,/0211
ADGPSPOSY,F64,APID0008,/0219
ADGPSPOSZ,F64,APID0008,/0227
ADGPSVELX,F64,APID0008,/0235
ADGPSVELY,F64,APID0008,/0243
ADGPSVELZ,F64,APID0008,/0251
ADGY1PWA,D1,APID0002,/0187:0
ADGY1PWA,D1,APID0007,/0658:4
ADGY1PWA,D1,APID0089,/0176:7
ADGY1PWB,D1,APID0007,/0664:0
ADGY2PWA,D1,APID0002,/0187:1
ADGY2PWA,D1,APID0007,/0660:0
ADGY2PWA,D1,APID0089,/0177:6
ADGY2PWB,D1,APID0007,/0665:4
ADGY3PWA,D1,APID0002,/0187:2
ADGY3PWA,D1,APID0007,/0661:2
ADGY3PWA,D1,APID0089,/0178:5
ADGY3PWB,D1,APID0007,/0666:6
ADGY4PWA,D1,APID0002,/0187:3
ADGY4PWA,D1,APID0007,/0662:5
ADGY4PWA,D1,APID0089,/0179:6
ADGY4PWB,D1,APID0007,/0668:1
ADRSSOLNST,D1,APID0008,/0096:2
ADRSSOLNST,D1,APID0012,/0050:0
ADRSSOLNST,D1,APID0089,/0208:5
ADRSBIASST,D1,APID0009,/0223:2
ADGYDQ,D2,APID0000,/0129:5-6
ADGYDQ,D2,APID0001,/0098:6-7
ADGYDQ,D2,APID0088,/0068:3-4
ADGYA1RATST,D2,APID0009,/0024:4-5
ADGYA2RATST,D2,APID0009,/0024:6-7
ADGYA3RATST,D2,APID0009,/0025:0-1
ADGYA4RATST,D2,APID0009,/0025:2-3
ADGYA1RAT,S16,APID0009,/0133
ADGYA2RAT,S16,APID0009,/0135
ADGYA3RAT,S16,APID0009,/0137
ADGYA4RAT,S16,APID0009,/0139
ADGYA1ST,D2,APID0000,/0130:0-1
ADGYA1ST,D2,APID0001,/0101:4-5
ADGYA1ST,D2,APID0088,/0068:5-6
ADGYA2ST,D2,APID0000,/0130:2-3
ADGYA2ST,D2,APID0001,/0101:6-7
ADGYA2ST,D2,APID0088,/0069:0-1
ADGYA3ST,D2,APID0000,/0130:4-5
ADGYA3ST,D2,APID0001,/0102:0-1
ADGYA3ST,D2,APID0088,/0069:2-3
ADGYA4ST,D2,APID0000,/0130:6-7
ADGYA4ST,D2,APID0001,/0102:2-3
ADGYA4ST,D2,APID0088,/0069:4-5
ADGYA11553V,D2,APID0009,/0141:0-1
ADGYA21553V,D2,APID0009,/0141:2-3
ADGYA31553V,D2,APID0009,/0141:4-5
ADGYA41553V,D2,APID0009,/0141:6-7
ADGYA1STALE,D1,APID0008,/0093:0
ADGYA2STALE,D1,APID0008,/0093:1
ADGYA3STALE,D1,APID0008,/0093:2
ADGYA4STALE,D1,APID0008,/0093:3
ADGYA1TD,D1,APID0008,/0093:4
ADGYA2TD,D1,APID0008,/0093:5
ADGYA3TD,D1,APID0008,/0093:6
ADGYA4TD,D1,APID0008,/0093:7
ADGYA1TECH,D1,APID0020,/0295:3
ADGYA2TECH,D1,APID0020,/0295:4
ADGYA3TECH,D1,APID0020,/0295:5
ADGYA4TECH,D1,APID0020,/0295:6
ADGYA1P5V,U12,APID0020,/0213:4-15
ADGYA2P5V,U12,APID0020,/0215:4-15
ADGYA3P5V,U12,APID0020,/0217:4-15
ADGYA4P5V,U12,APID0020,/0219:4-15
ADGYA1OPTPW,U12,APID0020,/0221:4-15
ADGYA2OPTPW,U12,APID0020,/0223:4-15
ADGYA3OPTPW,U12,APID0020,/0308:4-15
ADGYA4OPTPW,U12,APID0020,/0310:4-15
ADGYA1OPTREFPW,U12,APID0020,/0312:4-15
ADGYA2OPTREFPW,U12,APID0020,/0314:4-15
ADGYA3OPTREFPW,U12,APID0020,/0316:4-15
ADGYA4OPTREFPW,U12,APID0020,/0318:4-15
ADGYA1OPTPWCMD,U16,APID0020,/0320
ADGYA2OPTPWCMD,U16,APID0020,/0322
ADGYA3OPTPWCMD,U16,APID0020,/0324
ADGYA4OPTPWCMD,U16,APID0020,/0326
ADGYA1SRCI,U12,APID0020,/0328:4-15
ADGYA2SRCI,U12,APID0020,/0330:4-15
ADGYA3SRCI,U12,APID0020,/0332:4-15
ADGYA4SRCI,U12,APID0020,/0334:4-15
ADGYA1OPTT,U12,APID0020,/0336:4-15
ADGYA2OPTT,U12,APID0020,/0338:4-15
ADGYA3OPTT,U12,APID0020,/0340:4-15
ADGYA4OPTT,U12,APID0020,/0342:4-15
ADGYA1BRDT,U12,APID0020,/0344:4-15
ADGYA2BRDT,U12,APID0020,/0346:4-15
ADGYA3BRDT,U12,APID0020,/0348:4-15
ADGYA4BRDT,U12,APID0020,/0350:4-15
ADGYA1TREFV,U12,APID0020,/0352:4-15
ADGYA2TREFV,U12,APID0020,/0354:4-15
ADGYA3TREFV,U12,APID0020,/0356:4-15
ADGYA4TREFV,U12,APID0020,/0358:4-15
ADGYA1TREFVOFF,U12,APID0020,/0360:4-15
ADGYA2TREFVOFF,U12,APID0020,/0362:4-15
ADGYA3TREFVOFF,U12,APID0020,/0364:4-15
ADGYA4TREFVOFF,U12,APID0020,/0366:4-15
ADGYINER,U8,APID0009,/0150
ADGYTECHER,U8,APID0009,/0151
ADGYCFGER,U8,APID0009,/0152
ADGYSYNCER,U8,APID0009,/0153
ADGYA1DUF,D1,APID0001,/0102:4
ADGYA1DUF,D1,APID0009,/0024:0
ADGYA1DUF,D1,APID0088,/0069:6
ADGYA2DUF,D1,APID0001,/0102:5
ADGYA2DUF,D1,APID0009,/0024:1
ADGYA2DUF,D1,APID0088,/0069:7
ADGYA3DUF,D1,APID0001,/0102:6
ADGYA3DUF,D1,APID0009,/0024:2
ADGYA3DUF,D1,APID0088,/0070:0
ADGYA4DUF,D1,APID0001,/0102:7
ADGYA4DUF,D1,APID0009,/0024:3
ADGYA4DUF,D1,APID0088,/0070:1
ADGYA1ANG01,U32,APID0009,/0163
ADGYA1ST01,U16,APID0009,/0167
ADGYA1ADCSVY01,U1,APID0009,/0167:5
ADGYA1HRS01,D1,APID0009,/0167:6
ADGYA1OPW01,D1,APID0009,/0167:7
ADGYA1WPI01,D1,APID0009,/0168:0
ADGYA1MAXPW01,D1,APID0009,/0168:1
ADGYA1MINPW01,D1,APID0009,/0168:2
ADGYA1VPI01,D1,APID0009,/0168:3
ADGYA1ADCSAT01,D1,APID0009,/0168:4
ADGYA1VAL01,D1,APID0009,/0168:7
ADGYA2ANG01,U32,APID0009,/0169
ADGYA2ST01,U16,APID0009,/0173
